age,job,marital,education,balance,housing,loan,contact,campaign,previous,poutcome,subscribed
56,management,married,tertiary,90489,no,yes,telephone,36,2,nonexistent,yes
69,management,married,tertiary,40823,no,yes,cellular,33,4,failure,yes
46,technician,divorced,unknown,67555,yes,no,cellular,6,1,success,yes
32,admin,single,tertiary,84190,no,yes,telephone,3,2,success,yes
60,self-employed,divorced,primary,45418,no,no,cellular,35,0,failure,no
25,self-employed,single,secondary,91870,no,no,cellular,33,3,nonexistent,yes
38,self-employed,divorced,primary,46695,no,no,telephone,7,0,success,yes
56,services,divorced,unknown,59936,yes,no,telephone,41,1,nonexistent,yes
36,unemployed,married,unknown,14418,no,yes,telephone,35,3,failure,no
40,entrepreneur,single,unknown,24742,yes,no,cellular,47,3,success,no
28,admin,single,secondary,77218,yes,no,cellular,3,3,failure,yes
28,services,single,tertiary,46028,no,no,cellular,43,0,nonexistent,no
41,retired,single,primary,75700,yes,yes,telephone,18,4,success,no
70,technician,single,tertiary,5618,yes,no,cellular,3,0,nonexistent,yes
53,unemployed,married,unknown,66916,yes,yes,telephone,39,4,nonexistent,no
57,retired,divorced,tertiary,52628,yes,no,telephone,27,2,success,yes
41,unemployed,single,secondary,87463,no,no,cellular,9,3,failure,no
20,student,single,unknown,78699,no,no,cellular,17,0,success,no
39,self-employed,divorced,tertiary,83096,yes,no,cellular,41,1,nonexistent,no
70,unemployed,married,primary,12725,yes,no,telephone,42,1,nonexistent,yes
19,blue-collar,married,unknown,39135,yes,yes,cellular,45,4,nonexistent,no
41,self-employed,married,unknown,68223,yes,yes,telephone,5,4,success,no
61,self-employed,divorced,secondary,43969,no,no,cellular,46,3,nonexistent,no
47,technician,divorced,secondary,93498,yes,no,telephone,4,4,success,no
55,admin,married,primary,65122,no,no,cellular,14,1,success,no
19,retired,married,tertiary,6056,yes,yes,cellular,29,0,nonexistent,yes
38,unemployed,divorced,tertiary,68958,yes,no,telephone,11,0,nonexistent,no
50,unemployed,married,unknown,83578,yes,yes,cellular,22,4,nonexistent,no
29,student,single,unknown,58346,no,no,cellular,42,4,failure,yes
39,self-employed,divorced,tertiary,-1048,no,no,telephone,5,1,failure,yes
61,management,married,tertiary,93068,no,no,cellular,12,2,failure,yes
42,entrepreneur,single,tertiary,10521,yes,yes,cellular,21,0,nonexistent,no
66,management,divorced,unknown,8906,no,no,telephone,15,4,nonexistent,yes
44,unemployed,divorced,secondary,66514,yes,yes,cellular,24,3,failure,no
59,management,single,secondary,40769,yes,no,cellular,13,4,success,no
45,technician,divorced,primary,29275,no,yes,telephone,32,4,failure,yes
33,blue-collar,married,tertiary,41766,yes,yes,cellular,26,0,failure,yes
32,unemployed,divorced,tertiary,10343,no,no,cellular,40,4,success,yes
64,unemployed,married,tertiary,75487,yes,yes,telephone,26,3,failure,no
68,blue-collar,single,primary,78227,yes,no,cellular,36,3,failure,no
61,retired,single,tertiary,75056,yes,no,cellular,45,3,failure,no
72,blue-collar,divorced,secondary,74862,yes,no,cellular,30,1,success,no
69,management,single,tertiary,28521,yes,no,telephone,47,3,success,yes
74,technician,single,primary,98263,no,yes,cellular,9,0,failure,no
